KNr	A	B	C	Gene	Function
K02993	multiple functions	multiple functions	multiple functions	RP-S7e, RPS7	small subunit ribosomal protein S7e
K02994	multiple functions	multiple functions	multiple functions	RP-S8, rpsH	small subunit ribosomal protein S8
K02995	multiple functions	multiple functions	multiple functions	RP-S8e, RPS8	small subunit ribosomal protein S8e
K02996	multiple functions	multiple functions	multiple functions	RP-S9, MRPS9, rpsI	small subunit ribosomal protein S9
K02997	multiple functions	multiple functions	multiple functions	RP-S9e, RPS9	small subunit ribosomal protein S9e
K02998	multiple functions	multiple functions	multiple functions	RP-SAe, RPSA	small subunit ribosomal protein SAe
K02999	multiple functions	multiple functions	multiple functions	RPA1, POLR1A	DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]
K03000	multiple functions	multiple functions	multiple functions	RPA12, ZNRD1	DNA-directed RNA polymerase I subunit RPA12
K03001	multiple functions	multiple functions	multiple functions	RPA14	DNA-directed RNA polymerase I subunit RPA14
K03002	multiple functions	multiple functions	multiple functions	RPA2, POLR1B	DNA-directed RNA polymerase I subunit RPA2 [EC:2.7.7.6]
K03003	multiple functions	multiple functions	multiple functions	RPA34	DNA-directed RNA polymerase I subunit RPA34
K03004	multiple functions	multiple functions	multiple functions	RPA43	DNA-directed RNA polymerase I subunit RPA43
K03005	multiple functions	multiple functions	multiple functions	RPA49, POLR1E	DNA-directed RNA polymerase I subunit RPA49
K03006	multiple functions	multiple functions	multiple functions	RPB1, POLR2A	DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]
K03007	multiple functions	multiple functions	multiple functions	RPB10, POLR2L	DNA-directed RNA polymerases I, II, and III subunit RPABC5
K03008	multiple functions	multiple functions	multiple functions	RPB11, POLR2J	DNA-directed RNA polymerase II subunit RPB11
K03009	multiple functions	multiple functions	multiple functions	RPB12, POLR2K	DNA-directed RNA polymerases I, II, and III subunit RPABC4
K03010	multiple functions	multiple functions	multiple functions	RPB2, POLR2B	DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]
K03011	multiple functions	multiple functions	multiple functions	RPB3, POLR2C	DNA-directed RNA polymerase II subunit RPB3
K03012	multiple functions	multiple functions	multiple functions	RPB4, POLR2D	DNA-directed RNA polymerase II subunit RPB4
K03013	multiple functions	multiple functions	multiple functions	RPB5, POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1
K03014	multiple functions	multiple functions	multiple functions	RPB6, POLR2F	DNA-directed RNA polymerases I, II, and III subunit RPABC2
K03015	multiple functions	multiple functions	multiple functions	RPB7, POLR2G	DNA-directed RNA polymerase II subunit RPB7
K03016	multiple functions	multiple functions	multiple functions	RPB8, POLR2H	DNA-directed RNA polymerases I, II, and III subunit RPABC3
K03017	multiple functions	multiple functions	multiple functions	RPB9, POLR2I	DNA-directed RNA polymerase II subunit RPB9
K03018	multiple functions	multiple functions	multiple functions	RPC1, POLR3A	DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]
K03019	multiple functions	multiple functions	multiple functions	RPC11, POLR3K	DNA-directed RNA polymerase III subunit RPC11
K03020	multiple functions	multiple functions	multiple functions	RPC19, POLR1D	DNA-directed RNA polymerases I and III subunit RPAC2
K03021	multiple functions	multiple functions	multiple functions	RPC2, POLR3B	DNA-directed RNA polymerase III subunit RPC2 [EC:2.7.7.6]
K03022	multiple functions	multiple functions	multiple functions	RPC8, POLR3H	DNA-directed RNA polymerase III subunit RPC8
K03023	multiple functions	multiple functions	multiple functions	RPC3, POLR3C	DNA-directed RNA polymerase III subunit RPC3
K03024	multiple functions	multiple functions	multiple functions	RPC7, POLR3G	DNA-directed RNA polymerase III subunit RPC7
K03025	multiple functions	multiple functions	multiple functions	RPC6, POLR3F	DNA-directed RNA polymerase III subunit RPC6
K03026	multiple functions	multiple functions	multiple functions	RPC4, POLR3D	DNA-directed RNA polymerase III subunit RPC4
K03027	multiple functions	multiple functions	multiple functions	RPC40, POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1
K03028	multiple functions	multiple functions	multiple functions	PSMD2, RPN1	26S proteasome regulatory subunit N1
K03029	multiple functions	multiple functions	multiple functions	PSMD4, RPN10	26S proteasome regulatory subunit N10
K03030	multiple functions	multiple functions	multiple functions	PSMD14, RPN11, POH1	26S proteasome regulatory subunit N11
K03031	multiple functions	multiple functions	multiple functions	PSMD8, RPN12	26S proteasome regulatory subunit N12
K03032	multiple functions	multiple functions	multiple functions	PSMD1, RPN2	26S proteasome regulatory subunit N2
K03033	multiple functions	multiple functions	multiple functions	PSMD3, RPN3	26S proteasome regulatory subunit N3
K03034	brite hierarchies	protein families: genetic information processing	proteasome [br:ko03051]	RPN4	protein RPN4
K03035	multiple functions	multiple functions	multiple functions	PSMD12, RPN5	26S proteasome regulatory subunit N5
K03036	multiple functions	multiple functions	multiple functions	PSMD11, RPN6	26S proteasome regulatory subunit N6
K03037	multiple functions	multiple functions	multiple functions	PSMD6, RPN7	26S proteasome regulatory subunit N7
K03038	multiple functions	multiple functions	multiple functions	PSMD7, RPN8	26S proteasome regulatory subunit N8
K03039	multiple functions	multiple functions	multiple functions	PSMD13, RPN9	26S proteasome regulatory subunit N9
K03040	multiple functions	multiple functions	multiple functions	rpoA	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
K03041	multiple functions	multiple functions	multiple functions	rpoA1	DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]
K03042	multiple functions	multiple functions	multiple functions	rpoA2	DNA-directed RNA polymerase subunit A" [EC:2.7.7.6]
K03043	multiple functions	multiple functions	multiple functions	rpoB	DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K03044	multiple functions	multiple functions	multiple functions	rpoB1	DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]
K03045	multiple functions	multiple functions	multiple functions	rpoB2	DNA-directed RNA polymerase subunit B" [EC:2.7.7.6]
K03046	multiple functions	multiple functions	multiple functions	rpoC	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K03047	multiple functions	multiple functions	multiple functions	rpoD	DNA-directed RNA polymerase subunit D [EC:2.7.7.6]
K03048	multiple functions	multiple functions	multiple functions	rpoE	DNA-directed RNA polymerase subunit delta
K03049	multiple functions	multiple functions	multiple functions	rpoE1	DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]
K03050	multiple functions	multiple functions	multiple functions	rpoE2	DNA-directed RNA polymerase subunit E" [EC:2.7.7.6]
K03051	multiple functions	multiple functions	multiple functions	rpoF	DNA-directed RNA polymerase subunit F [EC:2.7.7.6]
K03052	multiple functions	multiple functions	multiple functions	rpoG	DNA-directed RNA polymerase subunit G [EC:2.7.7.6]
K03053	multiple functions	multiple functions	multiple functions	rpoH	DNA-directed RNA polymerase subunit H [EC:2.7.7.6]
K03054	brite hierarchies	protein families: genetic information processing	transcription machinery [br:ko03021]	rpoI	DNA-directed RNA polymerase subunit I [EC:2.7.7.6]
K03055	multiple functions	multiple functions	multiple functions	rpoK	DNA-directed RNA polymerase subunit K [EC:2.7.7.6]
K03056	multiple functions	multiple functions	multiple functions	rpoL	DNA-directed RNA polymerase subunit L [EC:2.7.7.6]
K03057	brite hierarchies	protein families: genetic information processing	transcription machinery [br:ko03021]	tfs	transcription factor S
K03058	multiple functions	multiple functions	multiple functions	rpoN	DNA-directed RNA polymerase subunit N [EC:2.7.7.6]
K03059	multiple functions	multiple functions	multiple functions	rpoP	DNA-directed RNA polymerase subunit P [EC:2.7.7.6]
K03060	multiple functions	multiple functions	multiple functions	rpoZ	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K03061	multiple functions	multiple functions	multiple functions	PSMC2, RPT1	26S proteasome regulatory subunit T1
K03062	multiple functions	multiple functions	multiple functions	PSMC1, RPT2	26S proteasome regulatory subunit T2
K03063	multiple functions	multiple functions	multiple functions	PSMC4, RPT3	26S proteasome regulatory subunit T3
K03064	multiple functions	multiple functions	multiple functions	PSMC6, RPT4	26S proteasome regulatory subunit T4
K03065	multiple functions	multiple functions	multiple functions	PSMC3, RPT5	26S proteasome regulatory subunit T5
K03066	multiple functions	multiple functions	multiple functions	PSMC5, RPT6	26S proteasome regulatory subunit T6
K03068	multiple functions	multiple functions	multiple functions	LRP5_6	low density lipoprotein receptor-related protein 5/6
K03069	multiple functions	multiple functions	multiple functions	FRAT1	frequently rearranged in advanced T-cell lymphomas 1
K03070	multiple functions	multiple functions	multiple functions	secA	preprotein translocase subunit SecA [EC:7.4.2.8]
K03071	multiple functions	multiple functions	multiple functions	secB	preprotein translocase subunit SecB
K03072	multiple functions	multiple functions	multiple functions	secD	preprotein translocase subunit SecD
K03073	multiple functions	multiple functions	multiple functions	secE	preprotein translocase subunit SecE
K03074	multiple functions	multiple functions	multiple functions	secF	preprotein translocase subunit SecF
K03075	multiple functions	multiple functions	multiple functions	secG	preprotein translocase subunit SecG
K03076	multiple functions	multiple functions	multiple functions	secY	preprotein translocase subunit SecY
K03077	metabolism	carbohydrate metabolism	general carbohydrate metabolism	araD, ulaF, sgaE, sgbE	L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]
K03078	metabolism	carbohydrate metabolism	general carbohydrate metabolism	ulaD, sgaH, sgbH	3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]
K03079	metabolism	carbohydrate metabolism	general carbohydrate metabolism	ulaE, sgaU, sgbU	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]
K03083	multiple functions	multiple functions	multiple functions	GSK3B	glycogen synthase kinase 3 beta [EC:2.7.11.26]
K03084	multiple functions	multiple functions	multiple functions	SHIP1, INPP5D	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 [EC:3.1.3.86]
K03085	multiple functions	multiple functions	multiple functions	SIC1	substrate and inhibitor of the cyclin-dependent protein kinase CDC28
K03086	multiple functions	multiple functions	multiple functions	rpoD	RNA polymerase primary sigma factor
K03087	multiple functions	multiple functions	multiple functions	rpoS	RNA polymerase nonessential primary-like sigma factor
K03088	brite hierarchies	protein families: genetic information processing	transcription machinery [br:ko03021]	rpoE	RNA polymerase sigma-70 factor, ECF subfamily
K03089	brite hierarchies	protein families: genetic information processing	transcription machinery [br:ko03021]	rpoH	RNA polymerase sigma-32 factor
K03090	brite hierarchies	protein families: genetic information processing	transcription machinery [br:ko03021]	sigB	RNA polymerase sigma-B factor
K03091	brite hierarchies	protein families: genetic information processing	transcription machinery [br:ko03021]	sigH	RNA polymerase sporulation-specific sigma factor
K03092	multiple functions	multiple functions	multiple functions	rpoN	RNA polymerase sigma-54 factor
K03093	brite hierarchies	protein families: genetic information processing	transcription machinery [br:ko03021]	sigI	RNA polymerase sigma factor
K03094	multiple functions	multiple functions	multiple functions	SKP1, CBF3D	S-phase kinase-associated protein 1
K03095	not included in pathway or brite	poorly characterized	general function prediction only	sprL	SprT-like protein
K03096	multiple functions	multiple functions	multiple functions	FRAT2	frequently rearranged in advanced T-cell lymphomas 2
K03097	multiple functions	multiple functions	multiple functions	CSNK2A	casein kinase II subunit alpha [EC:2.7.11.1]
K03098	brite hierarchies	protein families: signaling and cellular processes	exosome [br:ko04147]	APOD	apolipoprotein D and lipocalin family protein
K03099	multiple functions	multiple functions	multiple functions	SOS	son of sevenless
K03100	multiple functions	multiple functions	multiple functions	lepB	signal peptidase I [EC:3.4.21.89]
K03101	multiple functions	multiple functions	multiple functions	lspA	signal peptidase II [EC:3.4.23.36]
